Age,Household_Income,Credit_Score_Range,Vehicle_Year,Current_Mileage,Lead_Score,Purchased,Car_Make,Car_Model,Ownership_Type,Marital_Status,Education_Level,Homeowner_Status,Employment_Status,Gender,Preferred_Contact_Method,Lead_Source,Device_Type,Insurance_Status,Do_Not_Call,Email_Opt_In,Visited_Website_Last_30_Days,Clicked_Email_Last_30_Days,Opened_Email_Last_30_Days,Region,Zip_Code,Phone_Valid,Email_Valid,Vehicle_Use,Language_Preference,Military_Status,Has_Children,Outdoor_Activity_Level,Purchase_Intention,Number_of_Vehicles,Years_in_Current_Home,Past_Warranty_Purchase,Service_History,Recent_Move,Household_Size,Estimated_Home_Value,Estimated_Rent,Utilities_Included,Subscribed_To_Competitor,Warranty_Interest_Level,Credit_Card_Holder,Bank_Loan,Social_Media_Engagement,Online_Shopping_Frequency,Mobile_App_User,Streaming_Services_User,Data_Sharing_Consent
87,100-150K,650-699,2011,112692,69,1,Volkswagen,Jetta,Leased,Divorced,Bachelor's Degree,Renter,Unemployed,Other,Email,Email Campaign,Mobile,Yes,Yes,No,No,Yes,Yes,South,39444,Yes,Yes,Personal,English,Veteran,No,High,High,4,26,Yes,None,No,4,400-600K,500-1000,Yes,Yes,High,No,Yes,High,Low,No,Yes,Yes
81,50-75K,600-649,2008,119658,44,0,Honda,Elantra,Leased,Divorced,Bachelor's Degree,Living with Family,Retired,Female,Mail,Referral,Tablet,No,No,No,Yes,No,No,Midwest,45992,No,Yes,Mixed,Spanish,Veteran,No,Medium,Medium,5,5,Yes,Regular,Yes,4,100-200K,500-1000,Yes,No,Medium,No,No,Medium,High,Yes,No,No
34,100-150K,<600,2023,182327,60,0,Toyota,Jetta,Financed,Widowed,High School,Renter,Self-Employed,Female,Mail,Email Campaign,Tablet,Yes,No,Yes,No,No,No,Northeast,60968,No,No,Mixed,English,Active Duty,Yes,High,Low,1,25,Yes,Regular,No,2,400-600K,500-1000,Yes,No,Medium,No,Yes,Medium,Medium,No,No,No
78,<30K,650-699,2018,66131,73,1,Ford,Elantra,Owned,Single,Associate Degree,Homeowner,Employed Full-Time,Other,Phone,Website,Desktop,Yes,Yes,Yes,Yes,Yes,No,Northeast,83920,Yes,No,Mixed,Spanish,Active Duty,Yes,High,Low,1,10,No,Regular,Yes,3,600K+,1500-2000,No,Yes,High,Yes,Yes,Low,Medium,Yes,Yes,No
83,75-100K,650-699,2022,112296,78,1,BMW,F-150,Leased,Divorced,High School,Renter,Unemployed,Male,Mail,Event,Tablet,No,Yes,No,Yes,No,No,West,67091,No,No,Personal,English,Active Duty,No,Low,Medium,5,39,No,Occasional,Yes,4,200-400K,500-1000,No,Yes,Medium,No,No,Medium,Low,No,Yes,Yes
76,75-100K,750-800,2007,63270,75,1,Mercedes,Elantra,Leased,Married,Doctorate,Renter,Unemployed,Female,Phone,Website,Mobile,Yes,No,Yes,No,No,No,South,65771,No,No,Mixed,Spanish,Active Duty,No,Medium,High,1,12,No,Regular,Yes,2,100-200K,1500-2000,No,No,High,Yes,No,High,Medium,Yes,No,Yes
32,75-100K,700-749,2022,33182,79,1,Nissan,Corolla,Owned,Divorced,Doctorate,Homeowner,Unemployed,Male,Phone,Email Campaign,Mobile,No,No,No,No,Yes,Yes,South,72616,Yes,Yes,Business,Spanish,Veteran,Yes,Low,High,5,19,Yes,Regular,Yes,5,400-600K,2000+,Yes,No,Medium,No,No,Low,Medium,No,Yes,Yes
64,50-75K,<600,2011,163975,53,1,Chevrolet,Altima,Leased,Single,Some College,Homeowner,Employed Part-Time,Other,Phone,Referral,Desktop,No,No,No,No,Yes,Yes,South,47056,No,Yes,Mixed,English,Active Duty,Yes,Medium,High,5,14,Yes,Occasional,Yes,1,<100K,500-1000,No,No,Medium,Yes,No,Low,Medium,No,No,No
22,75-100K,650-699,2019,21087,59,1,Volkswagen,Corolla,Financed,Divorced,Master's Degree,Renter,Employed Full-Time,Male,Email,Email Campaign,Tablet,Yes,No,Yes,Yes,No,No,South,33788,No,No,Personal,Spanish,Active Duty,No,Medium,Medium,1,10,No,Occasional,No,3,400-600K,2000+,Yes,No,High,No,No,Medium,High,No,Yes,No
56,75-100K,600-649,2018,14209,65,1,Chevrolet,Sorento,Financed,Widowed,Doctorate,Renter,Employed Full-Time,Male,Text,Email Campaign,Desktop,No,No,No,Yes,Yes,Yes,Midwest,50730,Yes,No,Personal,English,Veteran,No,Low,Low,2,31,No,None,No,4,400-600K,1500-2000,Yes,No,Low,Yes,No,High,Low,Yes,Yes,No
47,30-50K,750-800,2018,89096,65,0,Kia,Altima,Owned,Divorced,Doctorate,Renter,Retired,Other,Mail,Referral,Mobile,No,No,No,No,No,No,Midwest,41300,No,Yes,Business,English,Active Duty,No,High,Medium,4,9,No,Regular,Yes,5,600K+,1000-1500,Yes,No,High,No,Yes,Low,High,No,Yes,Yes
80,30-50K,750-800,2020,69474,91,1,BMW,Jetta,Leased,Widowed,Doctorate,Homeowner,Self-Employed,Other,Mail,Event,Tablet,No,Yes,Yes,Yes,No,Yes,Northeast,66881,Yes,Yes,Business,English,None,No,Low,High,3,3,No,Occasional,No,4,100-200K,500-1000,No,Yes,High,Yes,Yes,Low,Medium,Yes,No,Yes
80,100-150K,650-699,2012,120887,77,1,Nissan,Elantra,Financed,Single,Bachelor's Degree,Renter,Retired,Male,Phone,Cold Call,Mobile,No,No,No,No,No,Yes,West,73335,Yes,Yes,Business,Other,Active Duty,No,High,Medium,1,25,No,Regular,Yes,5,400-600K,1000-1500,Yes,No,High,Yes,No,Low,Low,Yes,Yes,Yes
80,100-150K,<600,2014,115559,66,0,Toyota,Jetta,Financed,Married,High School,Renter,Self-Employed,Other,Mail,Referral,Desktop,Yes,No,No,Yes,No,No,South,54396,Yes,No,Personal,English,Veteran,No,High,Medium,1,25,Yes,Occasional,Yes,4,200-400K,1000-1500,No,No,High,Yes,No,High,Low,No,Yes,Yes
57,30-50K,600-649,2019,183783,59,1,Nissan,C-Class,Owned,Married,High School,Homeowner,Self-Employed,Female,Phone,Website,Desktop,Yes,No,No,No,No,Yes,West,95841,Yes,No,Mixed,Spanish,Active Duty,Yes,High,Medium,2,28,No,Regular,No,1,200-400K,2000+,No,Yes,Medium,No,Yes,High,Medium,Yes,Yes,Yes
63,75-100K,650-699,2006,87427,58,0,Chevrolet,Civic,Leased,Married,High School,Living with Family,Employed Part-Time,Other,Email,Referral,Mobile,Yes,Yes,No,Yes,Yes,No,Midwest,24408,Yes,Yes,Personal,Spanish,Veteran,No,Low,High,3,3,Yes,None,No,5,<100K,<500,No,No,Medium,Yes,No,Low,High,Yes,No,No
88,30-50K,650-699,2005,15945,49,1,Hyundai,C-Class,Financed,Single,Bachelor's Degree,Living with Family,Unemployed,Male,Phone,Event,Tablet,Yes,Yes,Yes,No,No,No,South,69469,No,Yes,Mixed,English,None,Yes,Medium,Medium,2,26,No,Occasional,No,4,<100K,1000-1500,No,No,Low,No,No,High,Low,No,Yes,Yes
69,50-75K,<600,2007,24439,35,0,Mercedes,F-150,Leased,Divorced,Some College,Living with Family,Employed Full-Time,Other,Text,Website,Mobile,No,No,Yes,No,No,No,Northeast,85748,Yes,Yes,Mixed,Spanish,Veteran,Yes,Medium,Low,3,7,No,None,Yes,4,600K+,2000+,Yes,No,High,Yes,No,Low,Medium,No,No,Yes
85,30-50K,600-649,2010,37552,58,1,Volkswagen,C-Class,Owned,Married,Doctorate,Living with Family,Employed Full-Time,Male,Email,Cold Call,Mobile,No,No,Yes,No,No,No,Northeast,16895,Yes,Yes,Mixed,English,None,Yes,Medium,Medium,4,31,No,Occasional,No,2,600K+,<500,No,No,High,No,No,Low,Low,No,Yes,Yes
72,75-100K,600-649,2017,157109,59,0,Toyota,Corolla,Owned,Divorced,Some College,Homeowner,Self-Employed,Female,Text,Website,Desktop,No,No,Yes,Yes,No,Yes,South,19447,No,Yes,Business,English,Active Duty,Yes,Medium,Low,4,36,No,None,No,3,<100K,1500-2000,Yes,No,High,No,No,High,Medium,Yes,Yes,No
53,75-100K,700-749,2023,104975,56,0,Kia,F-150,Financed,Divorced,Doctorate,Renter,Employed Part-Time,Female,Email,Website,Tablet,Yes,Yes,No,No,Yes,Yes,Northeast,29194,No,Yes,Personal,Other,Veteran,Yes,Low,Low,4,29,No,None,No,6,200-400K,500-1000,No,Yes,Medium,No,No,Medium,Low,Yes,No,Yes
50,30-50K,<600,2014,121043,35,0,Hyundai,Corolla,Owned,Divorced,Associate Degree,Homeowner,Employed Full-Time,Other,Mail,Cold Call,Tablet,Yes,No,Yes,No,No,Yes,Northeast,69050,Yes,No,Mixed,English,None,Yes,Low,High,4,28,Yes,Occasional,No,3,400-600K,1500-2000,No,Yes,Low,No,Yes,Medium,High,No,No,No
73,<30K,650-699,2009,87388,51,1,Ford,Jetta,Leased,Married,Associate Degree,Renter,Unemployed,Male,Phone,Event,Tablet,No,No,Yes,Yes,No,No,Northeast,57526,No,Yes,Personal,Spanish,Active Duty,Yes,Low,High,2,4,No,Regular,Yes,6,200-400K,2000+,Yes,No,High,Yes,Yes,Low,Low,Yes,No,Yes
74,50-75K,750-800,2018,95498,62,1,Chevrolet,Elantra,Leased,Divorced,Doctorate,Renter,Employed Part-Time,Other,Email,Event,Mobile,Yes,No,No,No,No,No,West,31241,Yes,Yes,Business,English,None,No,Medium,Low,1,33,Yes,Occasional,Yes,2,200-400K,1500-2000,Yes,No,High,Yes,No,Medium,High,No,Yes,No
51,<30K,750-800,2021,98031,51,0,Chevrolet,C-Class,Owned,Divorced,Some College,Homeowner,Self-Employed,Male,Text,Referral,Desktop,Yes,No,No,Yes,No,No,Northeast,20384,Yes,No,Personal,English,None,No,Low,Medium,2,19,Yes,Regular,Yes,4,600K+,1500-2000,Yes,Yes,Medium,Yes,Yes,Low,High,No,No,Yes
80,50-75K,650-699,2016,63062,75,1,Volkswagen,C-Class,Owned,Single,Master's Degree,Renter,Employed Full-Time,Other,Phone,Cold Call,Mobile,Yes,No,No,No,Yes,No,Northeast,55193,Yes,Yes,Mixed,Other,Active Duty,Yes,Low,Medium,5,21,Yes,None,No,6,400-600K,500-1000,Yes,Yes,Low,No,Yes,Medium,High,Yes,Yes,Yes
29,100-150K,750-800,2015,81284,45,0,Kia,C-Class,Leased,Widowed,Associate Degree,Homeowner,Employed Part-Time,Female,Text,Website,Tablet,No,No,Yes,No,No,No,West,60678,No,Yes,Business,Other,Active Duty,No,High,Medium,1,27,Yes,Occasional,Yes,5,200-400K,1000-1500,Yes,Yes,Medium,No,No,Medium,Low,No,Yes,No
75,100-150K,750-800,2016,117212,100,0,Toyota,3 Series,Leased,Widowed,Associate Degree,Living with Family,Employed Full-Time,Male,Mail,Event,Tablet,Yes,Yes,Yes,No,Yes,Yes,Northeast,40932,No,No,Business,Other,Veteran,Yes,High,Medium,3,23,No,Regular,Yes,5,200-400K,1500-2000,No,No,High,Yes,Yes,Low,High,No,No,Yes
71,<30K,600-649,2013,68233,47,1,Hyundai,Silverado,Leased,Divorced,Doctorate,Renter,Employed Part-Time,Male,Email,Website,Mobile,Yes,No,Yes,No,No,Yes,South,49315,Yes,Yes,Business,Other,Veteran,Yes,Low,High,2,31,Yes,Occasional,No,4,600K+,500-1000,Yes,Yes,Medium,No,No,Low,Medium,No,Yes,Yes
30,75-100K,<600,2015,168385,53,1,Ford,Elantra,Financed,Divorced,Some College,Living with Family,Retired,Male,Email,Cold Call,Tablet,Yes,Yes,Yes,No,Yes,Yes,South,39552,No,No,Personal,Spanish,Veteran,No,Low,Low,3,39,Yes,None,Yes,5,600K+,500-1000,Yes,No,Low,Yes,Yes,High,High,No,Yes,No
65,75-100K,700-749,2005,130557,72,1,Kia,Altima,Leased,Divorced,Bachelor's Degree,Homeowner,Unemployed,Female,Mail,Website,Tablet,Yes,Yes,No,No,No,No,Midwest,54589,Yes,No,Mixed,Spanish,None,No,Medium,High,3,32,Yes,Occasional,Yes,4,<100K,1000-1500,No,Yes,High,Yes,Yes,Medium,Medium,No,Yes,Yes
50,75-100K,700-749,2015,151437,50,0,BMW,Silverado,Owned,Widowed,Master's Degree,Renter,Unemployed,Female,Mail,Website,Desktop,No,No,Yes,Yes,No,Yes,Northeast,46877,No,No,Business,Other,Veteran,Yes,Medium,High,3,23,No,Occasional,Yes,4,<100K,2000+,Yes,No,Low,No,Yes,Medium,Low,No,No,Yes
72,50-75K,<600,2009,25344,31,0,Mercedes,3 Series,Financed,Divorced,Some College,Homeowner,Retired,Other,Mail,Email Campaign,Desktop,Yes,Yes,Yes,No,No,No,Midwest,89463,Yes,No,Mixed,Spanish,Veteran,No,High,Low,3,37,No,None,No,6,600K+,1000-1500,No,Yes,Medium,No,Yes,Medium,Low,No,Yes,No
88,50-75K,750-800,2013,171859,72,0,Volkswagen,Jetta,Owned,Single,Master's Degree,Renter,Employed Part-Time,Other,Mail,Referral,Tablet,Yes,Yes,Yes,Yes,Yes,No,South,64890,Yes,No,Mixed,English,Active Duty,No,High,Low,1,8,Yes,None,No,6,400-600K,2000+,No,No,High,No,No,Low,Medium,No,No,Yes
79,50-75K,650-699,2012,73139,55,0,Kia,Altima,Owned,Divorced,Associate Degree,Living with Family,Employed Part-Time,Other,Mail,Event,Mobile,No,No,No,Yes,No,No,South,29198,No,Yes,Business,Other,Veteran,No,Medium,Low,3,30,Yes,Regular,No,5,200-400K,500-1000,Yes,Yes,High,Yes,Yes,Low,High,Yes,Yes,No
46,<30K,700-749,2015,188051,44,1,Hyundai,F-150,Leased,Married,High School,Living with Family,Employed Part-Time,Female,Mail,Cold Call,Tablet,Yes,No,No,No,Yes,Yes,Midwest,80143,Yes,Yes,Business,English,Veteran,No,Medium,High,3,2,Yes,Occasional,Yes,3,200-400K,1500-2000,No,Yes,Low,No,No,High,High,No,Yes,No
87,150K+,750-800,2013,188376,93,0,Honda,Corolla,Leased,Divorced,Associate Degree,Living with Family,Employed Part-Time,Male,Mail,Cold Call,Tablet,No,Yes,No,Yes,Yes,Yes,West,52415,Yes,Yes,Business,Spanish,Veteran,No,Medium,Medium,3,37,Yes,Occasional,No,6,100-200K,<500,Yes,No,Medium,Yes,No,Low,Low,No,Yes,No
88,100-150K,600-649,2016,161120,82,1,Chevrolet,Silverado,Owned,Widowed,Some College,Renter,Retired,Female,Mail,Email Campaign,Mobile,Yes,Yes,Yes,No,No,Yes,Northeast,18094,Yes,Yes,Personal,Spanish,None,No,Low,Low,2,37,No,Regular,No,1,400-600K,500-1000,No,No,Low,Yes,No,Low,Medium,Yes,No,No
82,30-50K,600-649,2005,195508,62,0,Chevrolet,Jetta,Owned,Single,Bachelor's Degree,Renter,Employed Full-Time,Other,Phone,Website,Mobile,Yes,No,No,Yes,Yes,No,South,60132,No,No,Business,English,None,Yes,High,Medium,1,11,No,None,Yes,6,100-200K,<500,Yes,No,Medium,No,No,High,High,No,No,Yes
66,<30K,700-749,2013,49409,55,0,Ford,Corolla,Leased,Widowed,Master's Degree,Homeowner,Employed Part-Time,Male,Phone,Website,Tablet,Yes,No,Yes,Yes,Yes,No,West,40715,Yes,Yes,Personal,Other,Active Duty,Yes,High,Low,3,36,No,Regular,No,2,600K+,500-1000,No,No,Medium,Yes,Yes,Low,Low,No,No,Yes
34,50-75K,750-800,2016,168641,68,0,Mercedes,Sorento,Financed,Widowed,Bachelor's Degree,Homeowner,Self-Employed,Female,Email,Email Campaign,Mobile,Yes,Yes,No,Yes,No,Yes,West,64592,Yes,No,Personal,Spanish,Veteran,No,High,High,4,23,Yes,None,Yes,1,200-400K,1500-2000,Yes,Yes,High,Yes,No,High,Medium,No,Yes,Yes
53,30-50K,700-749,2011,194373,60,0,Ford,Elantra,Owned,Married,Bachelor's Degree,Homeowner,Retired,Female,Text,Cold Call,Mobile,No,No,No,No,No,No,Northeast,71537,No,Yes,Business,Spanish,Active Duty,Yes,High,High,2,1,No,None,No,3,100-200K,500-1000,No,Yes,Medium,Yes,No,Low,Low,No,No,No
83,100-150K,650-699,2020,120803,99,1,Honda,3 Series,Owned,Married,Doctorate,Living with Family,Unemployed,Male,Phone,Email Campaign,Desktop,Yes,Yes,Yes,No,Yes,Yes,Northeast,29795,Yes,Yes,Mixed,Spanish,Active Duty,Yes,High,Low,5,30,No,Regular,Yes,5,600K+,1500-2000,Yes,Yes,Low,No,No,High,Low,No,Yes,Yes
74,75-100K,750-800,2008,137464,70,1,Honda,Silverado,Owned,Divorced,Associate Degree,Renter,Unemployed,Male,Text,Cold Call,Mobile,Yes,Yes,No,Yes,Yes,Yes,West,59710,No,No,Personal,Other,Veteran,Yes,Low,Medium,4,21,Yes,None,Yes,2,100-200K,2000+,No,No,High,Yes,No,Low,Low,Yes,Yes,No
54,<30K,650-699,2005,54305,34,0,Volkswagen,Civic,Leased,Widowed,High School,Renter,Employed Part-Time,Other,Email,Email Campaign,Mobile,No,No,Yes,Yes,No,Yes,Northeast,67290,Yes,Yes,Business,Other,None,No,Medium,High,3,28,No,Regular,No,5,400-600K,1500-2000,Yes,No,High,No,Yes,Low,High,Yes,No,Yes
47,50-75K,<600,2017,186561,34,1,Honda,C-Class,Financed,Divorced,High School,Homeowner,Employed Full-Time,Female,Mail,Event,Mobile,Yes,Yes,Yes,Yes,No,No,West,23538,Yes,Yes,Business,Other,Veteran,No,Medium,High,3,26,No,Regular,Yes,5,600K+,500-1000,No,Yes,High,No,No,Medium,Medium,Yes,Yes,Yes
81,50-75K,600-649,2018,72341,85,1,Mercedes,Altima,Financed,Single,Associate Degree,Renter,Employed Part-Time,Other,Mail,Email Campaign,Tablet,Yes,No,Yes,Yes,No,Yes,West,53544,No,No,Business,Spanish,Active Duty,Yes,Medium,Medium,5,12,No,Occasional,Yes,4,200-400K,1000-1500,No,Yes,Medium,No,No,Medium,Medium,Yes,Yes,Yes
70,<30K,<600,2022,7055,46,0,Hyundai,Silverado,Financed,Divorced,Doctorate,Homeowner,Unemployed,Other,Mail,Referral,Tablet,No,Yes,No,Yes,No,No,Northeast,68860,No,No,Mixed,Other,None,No,High,High,3,34,Yes,Regular,Yes,6,200-400K,500-1000,Yes,No,Medium,No,Yes,High,High,No,Yes,Yes
65,75-100K,700-749,2019,98073,75,1,Mercedes,Elantra,Leased,Married,Associate Degree,Homeowner,Unemployed,Male,Text,Cold Call,Desktop,Yes,Yes,No,No,No,No,Midwest,78303,No,No,Business,English,Active Duty,No,Medium,High,3,2,Yes,Regular,No,6,<100K,500-1000,Yes,Yes,Low,Yes,No,Low,Medium,No,Yes,No
79,30-50K,650-699,2010,48860,64,1,Mercedes,C-Class,Owned,Married,Bachelor's Degree,Living with Family,Unemployed,Female,Phone,Referral,Desktop,No,Yes,Yes,Yes,No,No,Midwest,69972,Yes,No,Mixed,Spanish,None,No,High,Medium,5,25,Yes,Occasional,No,4,600K+,500-1000,No,Yes,Low,Yes,No,High,High,No,Yes,Yes
21,150K+,700-749,2016,181780,52,1,Honda,Sorento,Financed,Widowed,Master's Degree,Homeowner,Retired,Female,Mail,Referral,Mobile,Yes,Yes,No,No,Yes,Yes,South,69113,Yes,No,Personal,Spanish,Veteran,Yes,Medium,Low,5,31,No,None,No,4,400-600K,1500-2000,Yes,Yes,Low,Yes,Yes,Medium,High,No,Yes,No
36,30-50K,650-699,2010,119884,56,0,Volkswagen,Elantra,Leased,Single,Master's Degree,Homeowner,Self-Employed,Other,Text,Email Campaign,Desktop,No,Yes,No,Yes,Yes,No,Northeast,68947,No,No,Personal,Spanish,Veteran,Yes,Low,Low,5,22,No,Regular,Yes,2,100-200K,<500,No,No,Low,Yes,No,Low,Medium,No,No,Yes
72,30-50K,800+,2009,196632,68,0,Mercedes,Corolla,Financed,Married,Doctorate,Homeowner,Employed Part-Time,Male,Text,Referral,Tablet,No,No,Yes,No,No,No,West,19898,Yes,No,Mixed,Other,Active Duty,No,Medium,Medium,3,37,Yes,None,Yes,6,400-600K,1000-1500,Yes,No,High,No,Yes,Medium,Medium,No,No,No
57,30-50K,650-699,2022,151501,76,0,Honda,Jetta,Financed,Divorced,Doctorate,Homeowner,Employed Full-Time,Male,Mail,Website,Desktop,Yes,No,No,Yes,No,Yes,Midwest,95196,No,Yes,Business,English,None,No,Medium,High,3,10,Yes,Occasional,No,6,100-200K,1500-2000,Yes,Yes,High,Yes,No,High,High,Yes,No,Yes
20,<30K,<600,2005,182346,12,0,BMW,F-150,Financed,Married,Bachelor's Degree,Homeowner,Employed Part-Time,Female,Phone,Website,Desktop,No,No,No,Yes,No,Yes,Midwest,18966,Yes,Yes,Business,Spanish,None,Yes,High,Low,2,26,No,Regular,Yes,1,100-200K,<500,No,No,Medium,No,Yes,High,Medium,Yes,Yes,No
62,50-75K,600-649,2005,172597,68,1,Nissan,Silverado,Leased,Married,Doctorate,Renter,Self-Employed,Other,Phone,Referral,Mobile,No,Yes,Yes,No,Yes,Yes,South,51480,Yes,No,Mixed,Spanish,Active Duty,Yes,Medium,High,1,37,Yes,Regular,No,2,<100K,<500,No,No,Low,No,No,Low,Medium,Yes,Yes,No
55,75-100K,700-749,2007,81240,63,0,Ford,Sorento,Owned,Married,Master's Degree,Renter,Unemployed,Other,Phone,Event,Tablet,No,Yes,Yes,Yes,Yes,No,Northeast,69424,Yes,No,Mixed,Other,None,Yes,Low,High,2,0,Yes,Occasional,No,5,600K+,1000-1500,Yes,No,High,No,Yes,High,Medium,No,No,Yes
62,100-150K,700-749,2013,186731,70,1,Volkswagen,F-150,Financed,Widowed,Master's Degree,Renter,Employed Full-Time,Female,Email,Event,Desktop,No,Yes,Yes,Yes,Yes,Yes,Northeast,42053,Yes,No,Business,Spanish,Veteran,Yes,Low,Low,4,14,No,Regular,No,6,200-400K,1000-1500,Yes,No,High,Yes,Yes,High,Low,Yes,No,Yes
27,75-100K,<600,2019,74005,46,0,Nissan,3 Series,Owned,Widowed,High School,Renter,Employed Part-Time,Female,Text,Email Campaign,Desktop,No,No,No,Yes,Yes,Yes,Northeast,63744,Yes,Yes,Mixed,Spanish,None,Yes,Medium,High,4,19,Yes,Regular,Yes,4,400-600K,<500,Yes,No,High,Yes,Yes,Low,Medium,No,No,Yes
55,75-100K,650-699,2023,25054,71,0,Kia,Civic,Leased,Widowed,High School,Living with Family,Retired,Male,Mail,Referral,Desktop,No,No,No,No,No,No,West,45645,Yes,Yes,Personal,English,None,Yes,Low,High,2,28,No,Occasional,No,1,600K+,1000-1500,Yes,No,Medium,No,No,High,High,Yes,No,Yes
87,50-75K,800+,2011,85929,80,1,Honda,F-150,Leased,Married,Associate Degree,Renter,Retired,Male,Text,Event,Desktop,Yes,No,No,Yes,Yes,No,Northeast,28322,Yes,Yes,Personal,English,Veteran,Yes,Medium,Medium,1,37,No,Regular,Yes,1,100-200K,1500-2000,Yes,Yes,Medium,Yes,Yes,Medium,High,Yes,No,No
82,<30K,700-749,2020,7728,72,1,Mercedes,C-Class,Owned,Divorced,Some College,Homeowner,Self-Employed,Female,Mail,Referral,Desktop,Yes,No,No,No,No,Yes,Northeast,46670,No,Yes,Business,English,None,Yes,High,Low,1,24,No,Occasional,No,3,600K+,2000+,No,No,Medium,Yes,Yes,Medium,Low,Yes,Yes,No
